idmeter,timestamp,vr,vs,vt,ir,is,it,wh,varh
MTR0001,2024-01-01 00:00:00,221.55,221.39,222.47,2.85,2.56,2.69,0.228,0.139
MTR0001,2024-01-01 00:15:00,219.93,220.81,220.64,2.49,2.21,2.87,0.191,0.116
MTR0001,2024-01-01 00:30:00,219.44,219.48,223.7,2.59,2.61,2.51,0.226,0.1
MTR0001,2024-01-01 00:45:00,219.9,223.02,221.94,2.53,2.45,2.7,0.237,0.101
MTR0001,2024-01-01 01:00:00,221.11,218.66,219.51,2.65,2.71,2.75,0.201,0.124
MTR0001,2024-01-01 01:15:00,221.96,220.79,219.48,2.49,2.43,2.75,0.214,0.093
MTR0001,2024-01-01 01:30:00,222.35,223.0,220.24,2.58,2.65,2.87,0.225,0.12
MTR0001,2024-01-01 01:45:00,222.57,220.25,222.75,2.67,2.44,2.71,0.238,0.105
MTR0001,2024-01-01 02:00:00,220.75,223.95,217.57,2.75,2.61,2.68,0.244,0.121
MTR0001,2024-01-01 02:15:00,220.0,219.36,220.32,2.74,2.57,2.66,0.237,0.128
MTR0001,2024-01-01 02:30:00,220.01,222.37,221.65,2.77,2.49,2.68,0.247,0.122
MTR0001,2024-01-01 02:45:00,216.82,222.12,220.91,2.58,2.67,2.7,0.26,0.12
MTR0001,2024-01-01 03:00:00,221.19,221.49,218.62,2.62,2.61,3.09,0.236,0.136
MTR0001,2024-01-01 03:15:00,219.94,220.97,222.01,2.62,2.72,2.55,0.249,0.09
MTR0001,2024-01-01 03:30:00,222.9,219.5,222.38,2.95,2.45,2.64,0.254,0.138
MTR0001,2024-01-01 03:45:00,220.81,221.05,222.47,2.44,2.68,2.59,0.203,0.111
MTR0001,2024-01-01 04:00:00,222.02,219.75,221.84,2.82,2.36,2.75,0.189,0.135
MTR0001,2024-01-01 04:15:00,222.75,220.3,222.43,2.81,2.63,2.85,0.232,0.136
MTR0001,2024-01-01 04:30:00,223.6,222.31,219.71,2.72,2.45,2.84,0.242,0.127
MTR0001,2024-01-01 04:45:00,221.44,223.01,220.2,2.65,2.39,2.61,0.212,0.12
MTR0001,2024-01-01 05:00:00,221.22,222.84,221.52,2.84,2.56,3.13,0.218,0.14
MTR0001,2024-01-01 05:15:00,220.86,221.39,221.31,2.74,2.53,2.84,0.221,0.123
MTR0001,2024-01-01 05:30:00,221.12,219.73,221.76,2.68,2.47,2.75,0.251,0.104
MTR0001,2024-01-01 05:45:00,222.11,223.2,220.06,2.83,2.74,2.63,0.255,0.115
MTR0001,2024-01-01 06:00:00,221.66,223.3,222.93,5.35,5.15,5.56,0.461,0.234
MTR0001,2024-01-01 06:15:00,220.74,220.8,218.82,5.3,5.14,5.46,0.422,0.269
MTR0001,2024-01-01 06:30:00,220.9,219.98,220.43,5.35,5.09,5.48,0.481,0.272
MTR0001,2024-01-01 06:45:00,222.85,222.84,221.52,5.32,5.36,5.36,0.435,0.247
MTR0001,2024-01-01 07:00:00,221.56,222.9,219.7,5.61,5.53,5.78,0.508,0.236
MTR0001,2024-01-01 07:15:00,221.37,224.08,219.51,5.93,5.49,5.68,0.516,0.211
MTR0001,2024-01-01 07:30:00,219.41,221.51,216.64,5.5,5.57,5.69,0.503,0.248
MTR0001,2024-01-01 07:45:00,220.61,220.9,221.59,6.01,5.66,6.01,0.493,0.279
MTR0001,2024-01-01 08:00:00,220.9,221.02,221.67,6.14,6.22,6.08,0.541,0.262
MTR0001,2024-01-01 08:15:00,221.46,221.44,220.77,6.07,6.11,6.2,0.488,0.311
MTR0001,2024-01-01 08:30:00,221.34,220.56,222.85,6.08,6.1,6.36,0.532,0.28
MTR0001,2024-01-01 08:45:00,218.12,219.77,220.5,6.21,6.21,6.2,0.572,0.224
MTR0001,2024-01-01 09:00:00,221.82,221.13,221.99,6.34,6.32,6.7,0.53,0.25
MTR0001,2024-01-01 09:15:00,222.61,219.81,222.66,6.46,6.2,6.6,0.577,0.262
MTR0001,2024-01-01 09:30:00,219.56,221.12,222.12,6.28,6.18,6.64,0.514,0.313
MTR0001,2024-01-01 09:45:00,221.64,222.91,223.23,6.29,6.2,6.81,0.539,0.326
MTR0001,2024-01-01 10:00:00,222.09,221.36,221.47,6.46,6.55,6.82,0.568,0.332
MTR0001,2024-01-01 10:15:00,221.54,221.73,219.33,6.49,6.5,6.93,0.605,0.205
MTR0001,2024-01-01 10:30:00,220.95,220.44,221.54,6.69,6.77,7.01,0.609,0.3
MTR0001,2024-01-01 10:45:00,220.63,223.06,219.32,6.73,6.53,6.66,0.547,0.296
MTR0001,2024-01-01 11:00:00,221.31,224.41,222.93,6.68,6.57,7.1,0.631,0.229
MTR0001,2024-01-01 11:15:00,221.85,221.4,221.39,6.73,6.75,6.86,0.575,0.305
MTR0001,2024-01-01 11:30:00,218.41,220.7,221.51,6.78,6.64,7.12,0.557,0.294
MTR0001,2024-01-01 11:45:00,222.39,223.91,220.26,6.73,6.74,7.34,0.642,0.25
MTR0001,2024-01-01 12:00:00,223.89,224.23,221.13,6.97,6.86,7.29,0.617,0.264
MTR0001,2024-01-01 12:15:00,218.2,223.77,222.83,6.8,6.79,6.76,0.637,0.235
MTR0001,2024-01-01 12:30:00,218.24,221.52,222.08,6.82,6.45,7.07,0.589,0.263
MTR0001,2024-01-01 12:45:00,219.15,222.33,222.62,6.78,7.07,7.04,0.568,0.328
MTR0001,2024-01-01 13:00:00,220.64,220.05,220.67,6.59,7.0,7.03,0.571,0.348
MTR0001,2024-01-01 13:15:00,222.08,220.67,220.4,6.86,6.62,6.85,0.552,0.292
MTR0001,2024-01-01 13:30:00,223.27,221.23,222.36,6.82,7.17,7.2,0.615,0.334
MTR0001,2024-01-01 13:45:00,219.58,220.24,221.22,6.76,6.55,6.93,0.602,0.307
MTR0001,2024-01-01 14:00:00,220.79,223.82,221.62,6.48,6.78,6.95,0.571,0.288
MTR0001,2024-01-01 14:15:00,222.89,219.64,218.63,6.76,6.56,6.89,0.548,0.31
MTR0001,2024-01-01 14:30:00,219.91,220.3,221.57,6.49,6.59,6.86,0.555,0.322
MTR0001,2024-01-01 14:45:00,221.16,222.01,220.41,6.53,6.63,6.9,0.547,0.274
MTR0001,2024-01-01 15:00:00,219.81,222.46,220.36,6.09,6.06,6.61,0.485,0.308
MTR0001,2024-01-01 15:15:00,219.09,222.0,225.68,6.12,6.28,6.55,0.545,0.304
MTR0001,2024-01-01 15:30:00,222.05,219.91,222.29,6.58,5.93,6.49,0.541,0.283
MTR0001,2024-01-01 15:45:00,221.53,223.97,221.32,6.38,6.21,6.69,0.544,0.307
MTR0001,2024-01-01 16:00:00,221.23,224.71,222.81,5.99,6.16,6.21,0.514,0.254
MTR0001,2024-01-01 16:15:00,222.38,220.33,219.13,6.04,5.94,6.39,0.534,0.254
MTR0001,2024-01-01 16:30:00,218.58,223.32,222.01,5.98,6.07,6.61,0.55,0.206
MTR0001,2024-01-01 16:45:00,219.16,220.37,223.76,6.1,5.93,6.39,0.542,0.208
MTR0001,2024-01-01 17:00:00,220.13,222.17,222.64,5.52,5.73,6.08,0.477,0.219
MTR0001,2024-01-01 17:15:00,219.21,220.83,221.76,5.78,5.47,5.52,0.51,0.17
MTR0001,2024-01-01 17:30:00,224.47,221.79,221.66,5.77,5.68,5.91,0.518,0.212
MTR0001,2024-01-01 17:45:00,218.79,224.43,221.78,5.67,5.59,5.99,0.477,0.286
MTR0001,2024-01-01 18:00:00,218.26,223.89,221.26,5.19,5.05,5.2,0.441,0.214
MTR0001,2024-01-01 18:15:00,222.71,220.37,219.25,5.21,5.03,5.43,0.379,0.248
MTR0001,2024-01-01 18:30:00,220.45,222.64,224.27,5.42,5.16,5.28,0.437,0.262
MTR0001,2024-01-01 18:45:00,219.78,221.82,220.33,5.35,5.18,5.47,0.442,0.249
MTR0001,2024-01-01 19:00:00,219.73,221.76,221.12,5.07,4.4,5.19,0.392,0.214
MTR0001,2024-01-01 19:15:00,221.23,221.22,221.28,4.92,4.92,4.83,0.436,0.219
MTR0001,2024-01-01 19:30:00,221.88,219.91,220.71,4.92,4.61,5.13,0.418,0.234
MTR0001,2024-01-01 19:45:00,221.15,221.98,223.97,4.69,4.7,4.89,0.437,0.151
MTR0001,2024-01-01 20:00:00,222.19,221.32,220.72,4.62,4.31,4.42,0.403,0.171
MTR0001,2024-01-01 20:15:00,222.67,218.35,218.87,4.38,4.57,4.63,0.394,0.158
MTR0001,2024-01-01 20:30:00,221.26,219.03,219.48,4.57,4.45,4.6,0.384,0.138
MTR0001,2024-01-01 20:45:00,218.36,222.43,224.51,4.57,4.35,4.71,0.376,0.234
MTR0001,2024-01-01 21:00:00,223.3,223.12,218.74,3.94,4.0,4.3,0.333,0.197
MTR0001,2024-01-01 21:15:00,218.65,222.47,219.21,4.02,4.3,4.16,0.33,0.202
MTR0001,2024-01-01 21:30:00,221.54,221.88,220.21,4.24,4.01,4.31,0.327,0.18
MTR0001,2024-01-01 21:45:00,220.27,221.96,221.77,4.09,4.39,4.29,0.379,0.18
MTR0001,2024-01-01 22:00:00,221.75,223.06,222.43,3.65,3.74,4.0,0.318,0.122
MTR0001,2024-01-01 22:15:00,222.4,221.78,222.73,3.98,4.04,4.19,0.365,0.131
MTR0001,2024-01-01 22:30:00,221.44,221.91,221.91,3.69,3.69,4.19,0.372,0.123
MTR0001,2024-01-01 22:45:00,220.1,222.93,219.39,3.96,3.69,4.23,0.346,0.144
MTR0001,2024-01-01 23:00:00,222.97,221.89,223.05,3.51,3.73,4.0,0.33,0.176
MTR0001,2024-01-01 23:15:00,222.63,220.57,220.74,3.36,3.83,3.92,0.328,0.12
MTR0001,2024-01-01 23:30:00,223.17,220.82,220.87,3.69,3.49,3.73,0.268,0.16
MTR0001,2024-01-01 23:45:00,219.19,222.62,221.25,3.6,4.04,3.77,0.319,0.184
MTR0001,2024-01-02 00:00:00,221.23,225.28,220.54,2.55,2.51,2.64,0.219,0.091
MTR0001,2024-01-02 00:15:00,220.24,219.84,222.69,2.78,2.65,2.67,0.229,0.119
MTR0001,2024-01-02 00:30:00,223.12,224.29,220.58,2.57,2.64,2.78,0.218,0.104
MTR0001,2024-01-02 00:45:00,218.18,219.71,222.83,2.48,2.47,2.72,0.203,0.121
MTR0001,2024-01-02 01:00:00,220.78,223.38,225.29,2.55,2.53,2.88,0.202,0.104
MTR0001,2024-01-02 01:15:00,221.16,222.06,222.9,2.69,2.66,2.83,0.266,0.1
MTR0001,2024-01-02 01:30:00,222.87,222.57,221.25,2.65,2.78,2.6,0.231,0.131
MTR0001,2024-01-02 01:45:00,220.46,221.61,222.73,2.4,2.6,2.74,0.23,0.13
MTR0001,2024-01-02 02:00:00,220.34,221.93,221.87,2.86,2.59,2.77,0.243,0.109
MTR0001,2024-01-02 02:15:00,220.52,220.99,220.96,2.65,2.33,2.87,0.217,0.104
MTR0001,2024-01-02 02:30:00,223.15,221.5,220.67,2.91,2.38,2.4,0.226,0.128
MTR0001,2024-01-02 02:45:00,222.48,223.57,221.17,2.45,2.58,2.82,0.2,0.099
MTR0001,2024-01-02 03:00:00,220.73,221.97,221.14,2.68,2.41,2.94,0.25,0.09
MTR0001,2024-01-02 03:15:00,221.2,221.25,222.56,2.73,2.67,2.82,0.244,0.111
MTR0001,2024-01-02 03:30:00,220.67,223.76,220.49,2.9,2.59,2.51,0.187,0.135
MTR0001,2024-01-02 03:45:00,219.85,223.09,221.08,2.62,2.57,2.62,0.193,0.114
MTR0001,2024-01-02 04:00:00,221.98,222.24,220.05,2.62,2.6,2.55,0.237,0.111
MTR0001,2024-01-02 04:15:00,219.49,221.66,221.1,2.61,2.57,2.62,0.251,0.129
MTR0001,2024-01-02 04:30:00,219.94,222.46,223.6,2.76,2.61,2.63,0.244,0.103
MTR0001,2024-01-02 04:45:00,219.93,223.23,221.67,2.77,2.57,2.92,0.276,0.108
MTR0001,2024-01-02 05:00:00,219.82,220.87,221.02,2.69,2.68,2.64,0.293,0.102
MTR0001,2024-01-02 05:15:00,219.4,222.73,219.81,2.71,2.52,2.76,0.212,0.124
MTR0001,2024-01-02 05:30:00,221.4,222.57,220.78,2.86,2.42,2.51,0.205,0.089
MTR0001,2024-01-02 05:45:00,220.64,224.27,219.05,2.54,2.72,2.75,0.252,0.133
MTR0001,2024-01-02 06:00:00,219.86,222.19,222.24,5.29,5.12,5.35,0.483,0.16
MTR0001,2024-01-02 06:15:00,218.32,221.52,221.26,5.41,4.86,5.49,0.449,0.203
MTR0001,2024-01-02 06:30:00,218.86,223.34,220.8,5.3,5.19,5.52,0.404,0.25
MTR0001,2024-01-02 06:45:00,220.41,223.45,222.47,5.04,5.07,5.53,0.428,0.261
MTR0001,2024-01-02 07:00:00,221.37,222.25,223.05,5.69,5.56,5.84,0.482,0.26
MTR0001,2024-01-02 07:15:00,220.6,220.05,221.22,5.72,5.52,5.87,0.49,0.275
MTR0001,2024-01-02 07:30:00,222.3,217.26,224.63,5.64,5.77,5.72,0.482,0.266
MTR0001,2024-01-02 07:45:00,222.41,221.35,222.32,5.52,5.6,6.17,0.509,0.233
MTR0001,2024-01-02 08:00:00,222.46,223.38,222.46,5.87,6.23,6.1,0.523,0.296
MTR0001,2024-01-02 08:15:00,221.31,223.75,222.35,6.09,5.73,6.13,0.54,0.234
MTR0001,2024-01-02 08:30:00,220.35,223.66,221.27,6.06,5.95,6.27,0.491,0.267
MTR0001,2024-01-02 08:45:00,219.47,223.93,219.17,5.99,5.79,6.18,0.524,0.3
MTR0001,2024-01-02 09:00:00,219.77,224.98,222.97,6.31,5.93,6.95,0.503,0.315
MTR0001,2024-01-02 09:15:00,222.97,218.86,224.99,6.47,6.41,6.69,0.594,0.245
MTR0001,2024-01-02 09:30:00,220.96,221.51,220.37,6.32,6.05,6.59,0.551,0.286
