idmeter,timestamp,vr,vs,vt,ir,is,it,wh,varh
MTR0001,2024-01-01 00:00:00,214.52,216.64,213.11,2.61,1.26,3.74,0.194,0.119
MTR0001,2024-01-01 00:15:00,214.52,216.64,213.11,2.61,1.26,3.74,0.194,0.119
MTR0001,2024-01-01 00:30:00,214.52,216.64,213.11,2.61,1.26,3.74,0.194,0.119
MTR0001,2024-01-01 00:45:00,214.52,216.64,213.11,2.61,1.26,3.74,0.194,0.119
MTR0001,2024-01-01 01:00:00,211.62,212.36,212.89,3.2,2.38,2.13,0.204,0.117
MTR0001,2024-01-01 01:15:00,211.62,212.36,212.89,3.2,2.38,2.13,0.204,0.117
MTR0001,2024-01-01 01:30:00,211.62,212.36,212.89,3.2,2.38,2.13,0.204,0.117
MTR0001,2024-01-01 01:45:00,211.62,212.36,212.89,3.2,2.38,2.13,0.204,0.117
MTR0001,2024-01-01 02:00:00,208.74,211.92,209.58,3.06,2.43,2.28,0.233,0.073
MTR0001,2024-01-01 02:15:00,208.74,211.92,209.58,3.06,2.43,2.28,0.233,0.073
MTR0001,2024-01-01 02:30:00,208.74,211.92,209.58,3.06,2.43,2.28,0.233,0.073
MTR0001,2024-01-01 02:45:00,208.74,211.92,209.58,3.06,2.43,2.28,0.233,0.073
MTR0001,2024-01-01 03:00:00,215.82,215.57,215.71,2.62,2.03,3.53,0.233,0.104
MTR0001,2024-01-01 03:15:00,215.82,215.57,215.71,2.62,2.03,3.53,0.233,0.104
MTR0001,2024-01-01 03:30:00,215.82,215.57,215.71,2.62,2.03,3.53,0.233,0.104
MTR0001,2024-01-01 03:45:00,215.82,215.57,215.71,2.62,2.03,3.53,0.233,0.104
MTR0001,2024-01-01 04:00:00,224.57,224.52,226.39,2.2,2.89,2.7,0.219,0.088
MTR0001,2024-01-01 04:15:00,224.57,224.52,226.39,2.2,2.89,2.7,0.219,0.088
MTR0001,2024-01-01 04:30:00,224.57,224.52,226.39,2.2,2.89,2.7,0.219,0.088
MTR0001,2024-01-01 04:45:00,224.57,224.52,226.39,2.2,2.89,2.7,0.219,0.088
MTR0001,2024-01-01 05:00:00,227.85,225.24,227.4,2.8,1.58,3.95,0.233,0.129
MTR0001,2024-01-01 05:15:00,227.85,225.24,227.4,2.8,1.58,3.95,0.233,0.129
MTR0001,2024-01-01 05:30:00,227.85,225.24,227.4,2.8,1.58,3.95,0.233,0.129
MTR0001,2024-01-01 05:45:00,227.85,225.24,227.4,2.8,1.58,3.95,0.233,0.129
MTR0001,2024-01-01 06:00:00,214.66,216.91,216.18,6.44,5.45,4.27,0.468,0.226
MTR0001,2024-01-01 06:15:00,214.66,216.91,216.18,6.44,5.45,4.27,0.468,0.226
MTR0001,2024-01-01 06:30:00,214.66,216.91,216.18,6.44,5.45,4.27,0.468,0.226
MTR0001,2024-01-01 06:45:00,214.66,216.91,216.18,6.44,5.45,4.27,0.468,0.226
MTR0001,2024-01-01 07:00:00,227.48,226.34,227.11,5.65,4.16,7.35,0.53,0.204
MTR0001,2024-01-01 07:15:00,227.48,226.34,227.11,5.65,4.16,7.35,0.53,0.204
MTR0001,2024-01-01 07:30:00,227.48,226.34,227.11,5.65,4.16,7.35,0.53,0.204
MTR0001,2024-01-01 07:45:00,227.48,226.34,227.11,5.65,4.16,7.35,0.53,0.204
MTR0001,2024-01-01 08:00:00,211.01,212.26,211.15,6.54,5.88,5.58,0.481,0.277
MTR0001,2024-01-01 08:15:00,211.01,212.26,211.15,6.54,5.88,5.58,0.481,0.277
MTR0001,2024-01-01 08:30:00,211.01,212.26,211.15,6.54,5.88,5.58,0.481,0.277
MTR0001,2024-01-01 08:45:00,211.01,212.26,211.15,6.54,5.88,5.58,0.481,0.277
MTR0001,2024-01-01 09:00:00,221.11,222.82,221.73,6.45,5.3,7.88,0.578,0.234
MTR0001,2024-01-01 09:15:00,221.11,222.82,221.73,6.45,5.3,7.88,0.578,0.234
