idmeter,timestamp,vr,vs,vt,ir,is,it,wh,varh
MTR0001,2024-01-01 00:00:00,221.55,221.39,222.47,3.38,2.56,2.14,0.227,0.139
MTR0001,2024-01-01 00:15:00,219.93,220.81,220.64,3.01,2.21,2.32,0.191,0.116
MTR0001,2024-01-01 00:30:00,219.44,219.48,223.7,3.12,2.61,1.97,0.225,0.1
MTR0001,2024-01-01 00:45:00,219.9,223.02,221.94,3.05,2.45,2.16,0.237,0.101
MTR0001,2024-01-01 01:00:00,221.11,218.66,219.51,3.18,2.71,2.21,0.2,0.124
MTR0001,2024-01-01 01:15:00,221.96,220.79,219.48,3.02,2.43,2.2,0.213,0.092
MTR0001,2024-01-01 01:30:00,222.35,223.0,220.24,3.1,2.65,2.33,0.225,0.119
MTR0001,2024-01-01 01:45:00,222.57,220.25,222.75,3.19,2.44,2.17,0.238,0.105
MTR0001,2024-01-01 02:00:00,220.75,223.95,217.57,3.27,2.61,2.14,0.243,0.121
MTR0001,2024-01-01 02:15:00,220.0,219.36,220.32,3.26,2.57,2.12,0.237,0.128
MTR0001,2024-01-01 02:30:00,220.01,222.37,221.65,3.3,2.49,2.13,0.246,0.122
MTR0001,2024-01-01 02:45:00,216.82,222.12,220.91,3.11,2.67,2.16,0.26,0.119
MTR0001,2024-01-01 03:00:00,221.19,221.49,218.62,3.15,2.61,2.55,0.236,0.136
MTR0001,2024-01-01 03:15:00,219.94,220.97,222.01,3.15,2.72,2.01,0.248,0.09
MTR0001,2024-01-01 03:30:00,222.9,219.5,222.38,3.48,2.45,2.1,0.253,0.138
MTR0001,2024-01-01 03:45:00,220.81,221.05,222.47,2.97,2.68,2.04,0.203,0.111
MTR0001,2024-01-01 04:00:00,222.02,219.75,221.84,3.35,2.36,2.21,0.188,0.135
MTR0001,2024-01-01 04:15:00,222.75,220.3,222.43,3.33,2.63,2.31,0.231,0.136
MTR0001,2024-01-01 04:30:00,223.6,222.31,219.71,3.25,2.45,2.3,0.242,0.127
MTR0001,2024-01-01 04:45:00,221.44,223.01,220.2,3.17,2.39,2.06,0.212,0.12
MTR0001,2024-01-01 05:00:00,221.22,222.84,221.52,3.37,2.56,2.59,0.218,0.14
MTR0001,2024-01-01 05:15:00,220.86,221.39,221.31,3.26,2.53,2.3,0.221,0.123
MTR0001,2024-01-01 05:30:00,221.12,219.73,221.76,3.21,2.47,2.2,0.25,0.104
MTR0001,2024-01-01 05:45:00,222.11,223.2,220.06,3.36,2.74,2.09,0.254,0.115
MTR0001,2024-01-01 06:00:00,221.66,223.3,222.93,6.4,5.15,4.47,0.46,0.233
MTR0001,2024-01-01 06:15:00,220.74,220.8,218.82,6.35,5.14,4.37,0.421,0.268
MTR0001,2024-01-01 06:30:00,220.9,219.98,220.43,6.4,5.09,4.39,0.48,0.271
