idmeter,timestamp,vr,vs,vt,ir,is,it,wh,varh
MTR0001,2024-01-01 00:00:00,221.55,221.39,222.47,3.9,2.56,1.6,0.227,0.139
MTR0001,2024-01-01 00:15:00,219.93,220.81,220.64,3.54,2.21,1.78,0.19,0.116
MTR0001,2024-01-01 00:30:00,219.44,219.48,223.7,3.64,2.61,1.42,0.225,0.099
MTR0001,2024-01-01 00:45:00,219.9,223.02,221.94,3.58,2.45,1.61,0.236,0.101
MTR0001,2024-01-01 01:00:00,221.11,218.66,219.51,3.7,2.71,1.66,0.2,0.123
MTR0001,2024-01-01 01:15:00,221.96,220.79,219.48,3.54,2.43,1.66,0.213,0.092
MTR0001,2024-01-01 01:30:00,222.35,223.0,220.24,3.63,2.65,1.78,0.224,0.119
MTR0001,2024-01-01 01:45:00,222.57,220.25,222.75,3.72,2.44,1.62,0.237,0.105
MTR0001,2024-01-01 02:00:00,220.75,223.95,217.57,3.8,2.61,1.59,0.243,0.121
MTR0001,2024-01-01 02:15:00,220.0,219.36,220.32,3.79,2.57,1.57,0.236,0.127
MTR0001,2024-01-01 02:30:00,220.01,222.37,221.65,3.82,2.49,1.59,0.246,0.122
MTR0001,2024-01-01 02:45:00,216.82,222.12,220.91,3.63,2.67,1.61,0.259,0.119
MTR0001,2024-01-01 03:00:00,221.19,221.49,218.62,3.67,2.61,2.0,0.235,0.135
MTR0001,2024-01-01 03:15:00,219.94,220.97,222.01,3.67,2.72,1.46,0.248,0.09
MTR0001,2024-01-01 03:30:00,222.9,219.5,222.38,4.0,2.45,1.55,0.253,0.138
MTR0001,2024-01-01 03:45:00,220.81,221.05,222.47,3.49,2.68,1.5,0.202,0.111
MTR0001,2024-01-01 04:00:00,222.02,219.75,221.84,3.87,2.36,1.66,0.188,0.135
MTR0001,2024-01-01 04:15:00,222.75,220.3,222.43,3.86,2.63,1.76,0.231,0.135
MTR0001,2024-01-01 04:30:00,223.6,222.31,219.71,3.77,2.45,1.75,0.241,0.127
MTR0001,2024-01-01 04:45:00,221.44,223.01,220.2,3.7,2.39,1.52,0.211,0.12
MTR0001,2024-01-01 05:00:00,221.22,222.84,221.52,3.89,2.56,2.04,0.217,0.139
MTR0001,2024-01-01 05:15:00,220.86,221.39,221.31,3.79,2.53,1.75,0.22,0.122
MTR0001,2024-01-01 05:30:00,221.12,219.73,221.76,3.73,2.47,1.66,0.249,0.103
MTR0001,2024-01-01 05:45:00,222.11,223.2,220.06,3.88,2.74,1.54,0.254,0.115
MTR0001,2024-01-01 06:00:00,221.66,223.3,222.93,7.45,5.15,3.38,0.459,0.232
MTR0001,2024-01-01 06:15:00,220.74,220.8,218.82,7.4,5.14,3.28,0.42,0.267
MTR0001,2024-01-01 06:30:00,220.9,219.98,220.43,7.45,5.09,3.3,0.479,0.271
MTR0001,2024-01-01 06:45:00,222.85,222.84,221.52,7.42,5.36,3.18,0.433,0.245
MTR0001,2024-01-01 07:00:00,221.56,222.9,219.7,7.87,5.53,3.43,0.506,0.235
MTR0001,2024-01-01 07:15:00,221.37,224.08,219.51,8.2,5.49,3.33,0.513,0.21
MTR0001,2024-01-01 07:30:00,219.41,221.51,216.64,7.77,5.57,3.34,0.5,0.247
MTR0001,2024-01-01 07:45:00,220.61,220.9,221.59,8.27,5.66,3.66,0.49,0.277
MTR0001,2024-01-01 08:00:00,220.9,221.02,221.67,8.55,6.22,3.57,0.538,0.261
MTR0001,2024-01-01 08:15:00,221.46,221.44,220.77,8.48,6.11,3.69,0.486,0.31
MTR0001,2024-01-01 08:30:00,221.34,220.56,222.85,8.5,6.1,3.85,0.529,0.279
MTR0001,2024-01-01 08:45:00,218.12,219.77,220.5,8.63,6.21,3.69,0.569,0.223
MTR0001,2024-01-01 09:00:00,221.82,221.13,221.99,8.89,6.32,4.05,0.527,0.249
MTR0001,2024-01-01 09:15:00,222.61,219.81,222.66,9.01,6.2,3.96,0.575,0.26
MTR0001,2024-01-01 09:30:00,219.56,221.12,222.12,8.82,6.18,4.0,0.512,0.312
MTR0001,2024-01-01 09:45:00,221.64,222.91,223.23,8.84,6.2,4.17,0.536,0.324
MTR0001,2024-01-01 10:00:00,222.09,221.36,221.47,9.11,6.55,4.08,0.566,0.331
MTR0001,2024-01-01 10:15:00,221.54,221.73,219.33,9.13,6.5,4.19,0.602,0.204
MTR0001,2024-01-01 10:30:00,220.95,220.44,221.54,9.33,6.77,4.26,0.606,0.298
MTR0001,2024-01-01 10:45:00,220.63,223.06,219.32,9.38,6.53,3.92,0.545,0.295
MTR0001,2024-01-01 11:00:00,221.31,224.41,222.93,9.39,6.57,4.29,0.628,0.228
MTR0001,2024-01-01 11:15:00,221.85,221.4,221.39,9.44,6.75,4.05,0.573,0.304
MTR0001,2024-01-01 11:30:00,218.41,220.7,221.51,9.49,6.64,4.31,0.554,0.292
MTR0001,2024-01-01 11:45:00,222.39,223.91,220.26,9.43,6.74,4.52,0.639,0.249
MTR0001,2024-01-01 12:00:00,223.89,224.23,221.13,9.7,6.86,4.46,0.614,0.263
MTR0001,2024-01-01 12:15:00,218.2,223.77,222.83,9.53,6.79,3.93,0.634,0.234
MTR0001,2024-01-01 12:30:00,218.24,221.52,222.08,9.55,6.45,4.24,0.586,0.262
MTR0001,2024-01-01 12:45:00,219.15,222.33,222.62,9.51,7.07,4.2,0.565,0.327
MTR0001,2024-01-01 13:00:00,220.64,220.05,220.67,9.3,7.0,4.22,0.568,0.346
MTR0001,2024-01-01 13:15:00,222.08,220.67,220.4,9.57,6.62,4.03,0.549,0.29
MTR0001,2024-01-01 13:30:00,223.27,221.23,222.36,9.53,7.17,4.39,0.613,0.332
MTR0001,2024-01-01 13:45:00,219.58,220.24,221.22,9.47,6.55,4.12,0.599,0.305
MTR0001,2024-01-01 14:00:00,220.79,223.82,221.62,9.13,6.78,4.2,0.568,0.287
MTR0001,2024-01-01 14:15:00,222.89,219.64,218.63,9.4,6.56,4.14,0.545,0.308
MTR0001,2024-01-01 14:30:00,219.91,220.3,221.57,9.13,6.59,4.11,0.552,0.321
MTR0001,2024-01-01 14:45:00,221.16,222.01,220.41,9.18,6.63,4.15,0.544,0.273
MTR0001,2024-01-01 15:00:00,219.81,222.46,220.36,8.64,6.06,3.97,0.482,0.306
MTR0001,2024-01-01 15:15:00,219.09,222.0,225.68,8.67,6.28,3.9,0.542,0.302
MTR0001,2024-01-01 15:30:00,222.05,219.91,222.29,9.13,5.93,3.84,0.538,0.282
MTR0001,2024-01-01 15:45:00,221.53,223.97,221.32,8.93,6.21,4.05,0.541,0.305
MTR0001,2024-01-01 16:00:00,221.23,224.71,222.81,8.4,6.16,3.7,0.512,0.252
MTR0001,2024-01-01 16:15:00,222.38,220.33,219.13,8.45,5.94,3.88,0.531,0.252
MTR0001,2024-01-01 16:30:00,218.58,223.32,222.01,8.39,6.07,4.1,0.547,0.205
MTR0001,2024-01-01 16:45:00,219.16,220.37,223.76,8.51,5.93,3.88,0.54,0.207
MTR0001,2024-01-01 17:00:00,220.13,222.17,222.64,7.78,5.73,3.73,0.475,0.218
MTR0001,2024-01-01 17:15:00,219.21,220.83,221.76,8.05,5.47,3.18,0.508,0.169
MTR0001,2024-01-01 17:30:00,224.47,221.79,221.66,8.03,5.68,3.56,0.516,0.211
MTR0001,2024-01-01 17:45:00,218.79,224.43,221.78,7.94,5.59,3.64,0.474,0.285
MTR0001,2024-01-01 18:00:00,218.26,223.89,221.26,7.29,5.05,3.02,0.438,0.213
MTR0001,2024-01-01 18:15:00,222.71,220.37,219.25,7.31,5.03,3.25,0.377,0.247
MTR0001,2024-01-01 18:30:00,220.45,222.64,224.27,7.52,5.16,3.1,0.435,0.261
MTR0001,2024-01-01 18:45:00,219.78,221.82,220.33,7.45,5.18,3.29,0.44,0.248
MTR0001,2024-01-01 19:00:00,219.73,221.76,221.12,7.0,4.4,3.18,0.39,0.213
MTR0001,2024-01-01 19:15:00,221.23,221.22,221.28,6.86,4.92,2.82,0.434,0.218
MTR0001,2024-01-01 19:30:00,221.88,219.91,220.71,6.85,4.61,3.12,0.416,0.233
MTR0001,2024-01-01 19:45:00,221.15,221.98,223.97,6.63,4.7,2.88,0.435,0.15
MTR0001,2024-01-01 20:00:00,222.19,221.32,220.72,6.4,4.31,2.57,0.401,0.17
MTR0001,2024-01-01 20:15:00,222.67,218.35,218.87,6.17,4.57,2.77,0.392,0.157
MTR0001,2024-01-01 20:30:00,221.26,219.03,219.48,6.36,4.45,2.75,0.382,0.137
